Percentage Generated Data,Iteration,Model Pairing,Method Name,Num Real Samples,Num Generated Samples,Accuracy,Original Model Accuracy
0.5,1,Arsenal-LSTM,Argmax CopycatCNN,7,6,0.18712121212121213,0.9977272727272727
0.5,1,Arsenal-LSTM,Adaptive KnockoffNets,7,6,0.17803030303030304,0.9977272727272727
0.5,1,Arsenal-LSTM,Probabilistic CopycatCNN,33,33,0.13863636363636364,0.9977272727272727
0.5,1,Arsenal-LSTM,Argmax CopycatCNN,33,33,0.3098484848484849,0.9977272727272727
0.5,1,Arsenal-LSTM,Adaptive KnockoffNets,33,33,0.10984848484848485,0.9977272727272727
0.5,1,Arsenal-LSTM,Probabilistic CopycatCNN,66,66,0.3378787878787879,0.9977272727272727
0.5,1,Arsenal-LSTM,Argmax CopycatCNN,66,66,0.32651515151515154,0.9977272727272727
0.5,1,Arsenal-LSTM,Adaptive KnockoffNets,66,66,0.32045454545454544,0.9977272727272727
0.5,1,Arsenal-LSTM,Probabilistic CopycatCNN,99,99,0.6712121212121213,0.9977272727272727
0.5,1,Arsenal-LSTM,Argmax CopycatCNN,99,99,0.7712121212121212,0.9977272727272727
0.5,1,Arsenal-LSTM,Adaptive KnockoffNets,99,99,0.7628787878787879,0.9977272727272727
0.5,1,Arsenal-LSTM,Probabilistic CopycatCNN,132,132,0.828030303030303,0.9977272727272727
0.5,1,Arsenal-LSTM,Argmax CopycatCNN,132,132,0.8363636363636363,0.9977272727272727
0.5,1,Arsenal-LSTM,Adaptive KnockoffNets,132,132,0.7954545454545454,0.9977272727272727
0.5,1,Arsenal-LSTM,Probabilistic CopycatCNN,165,165,0.8742424242424243,0.9977272727272727
0.5,1,Arsenal-LSTM,Argmax CopycatCNN,165,165,0.8742424242424243,0.9977272727272727
0.5,1,Arsenal-LSTM,Adaptive KnockoffNets,165,165,0.8469696969696969,0.9977272727272727
0.5,1,Arsenal-LSTM,Probabilistic CopycatCNN,198,198,0.8954545454545455,0.9977272727272727
0.5,1,Arsenal-LSTM,Argmax CopycatCNN,198,198,0.9022727272727272,0.9977272727272727
0.5,1,Arsenal-LSTM,Adaptive KnockoffNets,198,198,0.865909090909091,0.9977272727272727
0.5,1,Arsenal-LSTM,Probabilistic CopycatCNN,231,230,0.8545454545454545,0.9977272727272727
0.5,1,Arsenal-LSTM,Argmax CopycatCNN,231,230,0.9318181818181818,0.9977272727272727
0.5,1,Arsenal-LSTM,Adaptive KnockoffNets,231,230,0.5083333333333333,0.9977272727272727
0.5,1,Arsenal-LSTM,Probabilistic CopycatCNN,264,264,0.9113636363636364,0.9977272727272727
0.5,1,Arsenal-LSTM,Argmax CopycatCNN,264,264,0.9287878787878788,0.9977272727272727
0.5,1,Arsenal-LSTM,Adaptive KnockoffNets,264,264,0.8962121212121212,0.9977272727272727
0.5,1,Arsenal-LSTM,Probabilistic CopycatCNN,297,297,0.9484848484848485,0.9977272727272727
0.5,1,Arsenal-LSTM,Argmax CopycatCNN,297,297,0.9484848484848485,0.9977272727272727
0.5,1,Arsenal-LSTM,Adaptive KnockoffNets,297,297,0.6742424242424242,0.9977272727272727
0.5,1,Arsenal-LSTM,Probabilistic CopycatCNN,330,330,0.9431818181818182,0.9977272727272727
0.5,1,Arsenal-LSTM,Argmax CopycatCNN,330,330,0.9515151515151515,0.9977272727272727
0.5,1,Arsenal-LSTM,Adaptive KnockoffNets,330,330,0.9234848484848485,0.9977272727272727
0.5,1,Attention_CNN-LSTM,Probabilistic CopycatCNN,1,0,0.09924242424242424,0.9416666666666667
0.5,1,Attention_CNN-LSTM,Argmax CopycatCNN,1,0,0.10378787878787879,0.9416666666666667
0.5,1,Attention_CNN-LSTM,Adaptive KnockoffNets,1,0,0.07954545454545454,0.9416666666666667
0.5,1,Attention_CNN-LSTM,Probabilistic CopycatCNN,3,3,0.13863636363636364,0.9416666666666667
0.5,1,Attention_CNN-LSTM,Argmax CopycatCNN,3,3,0.16590909090909092,0.9416666666666667
0.5,1,Attention_CNN-LSTM,Adaptive KnockoffNets,3,3,0.13863636363636364,0.9416666666666667
0.5,1,Attention_CNN-LSTM,Probabilistic CopycatCNN,7,6,0.2143939393939394,0.9416666666666667
0.5,1,Attention_CNN-LSTM,Argmax CopycatCNN,7,6,0.11893939393939394,0.9416666666666667
0.5,1,Attention_CNN-LSTM,Adaptive KnockoffNets,7,6,0.1143939393939394,0.9416666666666667
0.5,1,Attention_CNN-LSTM,Probabilistic CopycatCNN,33,33,0.22121212121212122,0.9416666666666667
0.5,1,Attention_CNN-LSTM,Argmax CopycatCNN,33,33,0.3143939393939394,0.9416666666666667
0.5,1,Attention_CNN-LSTM,Adaptive KnockoffNets,33,33,0.2681818181818182,0.9416666666666667
0.5,1,Attention_CNN-LSTM,Probabilistic CopycatCNN,66,66,0.2863636363636364,0.9416666666666667
0.5,1,Attention_CNN-LSTM,Argmax CopycatCNN,66,66,0.5590909090909091,0.9416666666666667
0.5,1,Attention_CNN-LSTM,Adaptive KnockoffNets,66,66,0.5196969696969697,0.9416666666666667
0.5,1,Attention_CNN-LSTM,Probabilistic CopycatCNN,99,99,0.7007575757575758,0.9416666666666667
0.5,1,Attention_CNN-LSTM,Argmax CopycatCNN,99,99,0.7878787878787878,0.9416666666666667
0.5,1,Attention_CNN-LSTM,Adaptive KnockoffNets,99,99,0.32196969696969696,0.9416666666666667
0.5,1,Attention_CNN-LSTM,Probabilistic CopycatCNN,132,132,0.8143939393939394,0.9416666666666667
0.5,1,Attention_CNN-LSTM,Argmax CopycatCNN,132,132,0.8287878787878787,0.9416666666666667
0.5,1,Attention_CNN-LSTM,Adaptive KnockoffNets,132,132,0.7492424242424243,0.9416666666666667
0.5,1,Attention_CNN-LSTM,Probabilistic CopycatCNN,165,165,0.8560606060606061,0.9416666666666667
0.5,1,Attention_CNN-LSTM,Argmax CopycatCNN,165,165,0.8613636363636363,0.9416666666666667
0.5,1,Attention_CNN-LSTM,Adaptive KnockoffNets,165,165,0.753030303030303,0.9416666666666667
0.5,1,Attention_CNN-LSTM,Probabilistic CopycatCNN,198,198,0.8681818181818182,0.9416666666666667
0.5,1,Attention_CNN-LSTM,Argmax CopycatCNN,198,198,0.8863636363636364,0.9416666666666667
